epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,3896.26,1.52564,1.65636,1.8311,0.719,0.48897,0.55981,0.3417,1.45153,1.78043,1.75159,0.009505,0.009505,0.009505
17,4126.95,1.5204,1.64186,1.83392,0.67601,0.51931,0.56846,0.34976,1.44488,1.89684,1.74963,0.009472,0.009472,0.009472
18,4325.09,1.49998,1.62875,1.80217,0.67948,0.5,0.56344,0.35439,1.39957,1.86189,1.69855,0.009439,0.009439,0.009439
19,4520.08,1.48439,1.60069,1.78994,0.73768,0.51783,0.60562,0.38474,1.39932,1.55862,1.68442,0.009406,0.009406,0.009406
20,4776.88,1.44277,1.5549,1.75842,0.6807,0.52781,0.58594,0.38623,1.3744,1.64425,1.66818,0.009373,0.009373,0.009373
21,5032.51,1.43333,1.53608,1.74997,0.69019,0.54236,0.60229,0.40789,1.33293,1.66343,1.62863,0.00934,0.00934,0.00934
22,5282.94,1.42292,1.52109,1.74444,0.73752,0.51448,0.60374,0.40427,1.30739,1.56727,1.61786,0.009307,0.009307,0.009307
23,5518.62,1.42028,1.52456,1.74181,0.75394,0.52617,0.61851,0.41432,1.29362,1.78684,1.59439,0.009274,0.009274,0.009274
24,5768.9,1.38611,1.45945,1.69622,0.71242,0.5467,0.61501,0.4212,1.28106,1.56104,1.59972,0.009241,0.009241,0.009241
25,6055.76,1.37159,1.46388,1.68393,0.75724,0.52491,0.62755,0.42301,1.29364,1.40537,1.59834,0.009208,0.009208,0.009208
26,6336.92,1.34879,1.44434,1.676,0.742,0.52897,0.62083,0.42562,1.23189,1.37614,1.53157,0.009175,0.009175,0.009175
27,6587.14,1.34915,1.4241,1.67611,0.7991,0.52671,0.63834,0.44082,1.24335,1.36941,1.54824,0.009142,0.009142,0.009142
28,6825.51,1.34817,1.42692,1.66784,0.77963,0.51968,0.62848,0.42746,1.24001,1.39822,1.55779,0.009109,0.009109,0.009109
29,7109.18,1.31447,1.37286,1.64434,0.7261,0.56828,0.65034,0.43725,1.25811,1.43789,1.55657,0.009076,0.009076,0.009076
30,7408.73,1.30329,1.34938,1.63039,0.73861,0.56345,0.64527,0.44486,1.22543,1.42939,1.51721,0.009043,0.009043,0.009043
31,7742.72,1.2863,1.35096,1.61583,0.74813,0.58069,0.66638,0.45845,1.19669,1.28161,1.49831,0.00901,0.00901,0.00901
32,8182.73,1.28746,1.34093,1.61535,0.7625,0.55931,0.66898,0.4643,1.18485,1.27266,1.4925,0.008977,0.008977,0.008977
33,8626.96,1.28299,1.33035,1.61274,0.7904,0.55133,0.6642,0.46419,1.17854,1.21265,1.49099,0.008944,0.008944,0.008944
34,9047.95,1.28214,1.32084,1.61868,0.75066,0.58828,0.66758,0.47166,1.18707,1.37647,1.48459,0.008911,0.008911,0.008911
35,9461.05,1.271,1.3281,1.60835,0.78586,0.56692,0.6774,0.47555,1.16709,1.20637,1.4786,0.008878,0.008878,0.008878
36,9809.67,1.25424,1.2846,1.5862,0.78932,0.55724,0.67102,0.47974,1.14208,1.29938,1.46066,0.008845,0.008845,0.008845
37,10169.4,1.25851,1.29245,1.59005,0.77261,0.57724,0.68097,0.47545,1.14027,1.19529,1.4591,0.008812,0.008812,0.008812
38,10449.6,1.24862,1.27412,1.57918,0.74965,0.5865,0.685,0.47847,1.16765,1.23518,1.46811,0.008779,0.008779,0.008779
39,10691.1,1.23773,1.24878,1.58265,0.79847,0.57382,0.68487,0.48743,1.1383,1.1708,1.45264,0.008746,0.008746,0.008746
40,10875,1.23208,1.24424,1.5726,0.81051,0.57034,0.68545,0.48259,1.1434,1.16629,1.45294,0.008713,0.008713,0.008713
41,11101.6,1.2239,1.23545,1.569,0.72915,0.6131,0.69154,0.49417,1.11318,1.24055,1.43184,0.00868,0.00868,0.00868
42,11350.1,1.21688,1.22188,1.55561,0.80436,0.58621,0.6952,0.49631,1.13461,1.21671,1.456,0.008647,0.008647,0.008647
43,11552.9,1.21445,1.22409,1.55232,0.7859,0.60483,0.70605,0.50292,1.11517,1.12881,1.42934,0.008614,0.008614,0.008614
44,11808.3,1.20435,1.20652,1.55041,0.8112,0.59172,0.7102,0.50439,1.10347,1.14266,1.41496,0.008581,0.008581,0.008581
45,11987.3,1.20294,1.21322,1.54624,0.79097,0.60966,0.7163,0.50778,1.1162,1.14729,1.43344,0.008548,0.008548,0.008548
46,12283.2,1.17907,1.1889,1.5308,0.80322,0.60483,0.71219,0.50764,1.08451,1.11778,1.40063,0.008515,0.008515,0.008515
47,12527.7,1.18577,1.19389,1.53361,0.78831,0.61172,0.71752,0.5129,1.07139,1.15773,1.39504,0.008482,0.008482,0.008482
48,12712.2,1.19515,1.20153,1.544,0.79698,0.60759,0.7131,0.51695,1.08031,1.08874,1.40803,0.008449,0.008449,0.008449
49,12905.3,1.18744,1.17204,1.53223,0.82991,0.6158,0.73168,0.52277,1.07866,1.10127,1.40109,0.008416,0.008416,0.008416
50,13095.1,1.18658,1.17504,1.52937,0.80478,0.62262,0.7264,0.52362,1.06597,1.15758,1.37483,0.008383,0.008383,0.008383
51,13273.5,1.17864,1.15415,1.51264,0.84162,0.60621,0.72911,0.52855,1.06263,1.12115,1.38954,0.00835,0.00835,0.00835
52,13463.7,1.16919,1.15219,1.51527,0.81,0.62621,0.73099,0.52895,1.05184,1.09788,1.37028,0.008317,0.008317,0.008317
53,13721.9,1.16435,1.1294,1.50333,0.80418,0.63723,0.7377,0.53068,1.05728,1.05166,1.37956,0.008284,0.008284,0.008284
54,13903.1,1.15136,1.11521,1.49925,0.78413,0.64882,0.73979,0.54071,1.04481,1.00699,1.37058,0.008251,0.008251,0.008251
55,14130,1.16525,1.13237,1.51749,0.81803,0.62624,0.74342,0.53927,1.04608,0.9872,1.36405,0.008218,0.008218,0.008218
56,14324.3,1.14994,1.13315,1.50447,0.81766,0.6331,0.74883,0.5425,1.0485,0.98905,1.37115,0.008185,0.008185,0.008185
57,14497.9,1.15435,1.12744,1.4987,0.80002,0.65034,0.74641,0.54266,1.04094,1.00033,1.36036,0.008152,0.008152,0.008152
58,14743.4,1.13553,1.09773,1.48262,0.81745,0.63724,0.75299,0.54803,1.03618,0.95648,1.35921,0.008119,0.008119,0.008119
59,15079.2,1.14438,1.09915,1.4875,0.8069,0.64138,0.7462,0.54448,1.04284,1.0074,1.3688,0.008086,0.008086,0.008086
60,15436.3,1.13285,1.09332,1.48239,0.8131,0.65241,0.7595,0.56272,1.02015,0.97599,1.36164,0.008053,0.008053,0.008053
61,15728.9,1.12461,1.0926,1.48576,0.81336,0.66119,0.75828,0.55802,1.03695,0.94629,1.36685,0.00802,0.00802,0.00802
62,15976.5,1.12088,1.07538,1.47458,0.82184,0.65537,0.76949,0.56257,1.01772,0.97747,1.33837,0.007987,0.007987,0.007987
63,16223.6,1.13018,1.0876,1.48561,0.82862,0.65023,0.75684,0.55842,1.02652,1.18807,1.35272,0.007954,0.007954,0.007954
64,16505,1.12627,1.07479,1.47699,0.82169,0.65103,0.76606,0.56604,0.9993,0.95505,1.32224,0.007921,0.007921,0.007921
65,16720,1.12196,1.07042,1.48213,0.80227,0.66598,0.77037,0.5653,1.00286,0.99144,1.33036,0.007888,0.007888,0.007888
66,16935.5,1.11652,1.06243,1.46488,0.84012,0.65724,0.77747,0.57744,0.98484,0.85979,1.31621,0.007855,0.007855,0.007855
67,17171.5,1.11452,1.05205,1.46309,0.80768,0.66207,0.77674,0.5705,1.00826,0.87828,1.32827,0.007822,0.007822,0.007822
68,17420.3,1.10999,1.04571,1.4662,0.79977,0.67489,0.77539,0.56776,0.97398,0.93313,1.31286,0.007789,0.007789,0.007789
69,17594.6,1.09009,1.03271,1.45138,0.80588,0.67931,0.78052,0.57195,0.97698,0.8824,1.29998,0.007756,0.007756,0.007756
70,17774.8,1.10134,1.05496,1.454,0.8357,0.63931,0.76606,0.56763,0.96848,0.92684,1.30001,0.007723,0.007723,0.007723
71,18016.7,1.09449,1.02862,1.45533,0.82798,0.65728,0.78014,0.57927,0.98019,0.90857,1.31047,0.00769,0.00769,0.00769
72,18249.4,1.09483,1.03338,1.44685,0.80999,0.67862,0.78291,0.58231,0.95816,0.85932,1.29368,0.007657,0.007657,0.007657
73,18448.5,1.08971,1.0279,1.45215,0.83245,0.68,0.79043,0.58634,0.95754,0.86966,1.29229,0.007624,0.007624,0.007624
74,18672,1.08239,1.02524,1.45413,0.83386,0.66345,0.79107,0.5857,0.95855,0.88522,1.29527,0.007591,0.007591,0.007591
75,18883.7,1.07083,1.00731,1.43996,0.86259,0.64621,0.79011,0.58817,0.94077,0.84774,1.29369,0.007558,0.007558,0.007558
76,19124.5,1.0811,1.01553,1.44505,0.83516,0.67241,0.78434,0.57841,0.96675,0.9063,1.30372,0.007525,0.007525,0.007525
77,19326.2,1.07956,1.01266,1.44185,0.82379,0.68207,0.79172,0.58638,0.9672,0.86155,1.30101,0.007492,0.007492,0.007492
78,19561.9,1.07237,1.00095,1.44511,0.84698,0.66423,0.79449,0.5939,0.94425,0.82703,1.28718,0.007459,0.007459,0.007459
79,19782.9,1.07387,1.00114,1.4319,0.825,0.68621,0.79614,0.59703,0.94398,0.83635,1.29098,0.007426,0.007426,0.007426
80,20012.3,1.0723,1.00017,1.42734,0.83491,0.68828,0.79665,0.59389,0.96013,0.85522,1.29798,0.007393,0.007393,0.007393
81,20219.3,1.06045,0.9884,1.42742,0.81711,0.70759,0.80133,0.59847,0.94502,0.81646,1.29573,0.00736,0.00736,0.00736
82,20465.1,1.06718,0.99159,1.43091,0.83528,0.69943,0.80342,0.6009,0.94887,0.82334,1.29018,0.007327,0.007327,0.007327
83,20733.3,1.05631,0.9695,1.41455,0.83575,0.70621,0.80821,0.60614,0.92412,0.8128,1.27525,0.007294,0.007294,0.007294
84,20943.4,1.05785,0.96269,1.41621,0.84958,0.69337,0.81175,0.61112,0.92039,0.82267,1.26289,0.007261,0.007261,0.007261
85,21193.1,1.05151,0.96878,1.40514,0.85966,0.69703,0.81318,0.61033,0.92266,0.83628,1.26538,0.007228,0.007228,0.007228
86,21541.4,1.06037,0.98094,1.42505,0.8486,0.69655,0.8111,0.60518,0.92003,0.7961,1.2645,0.007195,0.007195,0.007195
87,21944.5,1.0466,0.95673,1.41255,0.87335,0.68621,0.81494,0.61328,0.90816,0.79743,1.25042,0.007162,0.007162,0.007162
88,22229.9,1.04519,0.94118,1.40396,0.84831,0.68621,0.81132,0.61346,0.9072,0.78599,1.24396,0.007129,0.007129,0.007129
89,22514,1.04819,0.94676,1.40455,0.82137,0.71983,0.82396,0.61875,0.90591,0.7707,1.25053,0.007096,0.007096,0.007096
90,22808.1,1.0536,0.94124,1.41396,0.85689,0.69103,0.81827,0.61939,0.91309,0.79578,1.25071,0.007063,0.007063,0.007063
91,23105.9,1.0408,0.94668,1.39941,0.81179,0.7331,0.82093,0.61808,0.9124,0.77196,1.25087,0.00703,0.00703,0.00703
92,23686.9,1.05459,0.94992,1.41488,0.86002,0.71608,0.82988,0.62382,0.89987,0.75337,1.23339,0.006997,0.006997,0.006997
93,26462.3,1.03549,0.94959,1.39293,0.88941,0.69793,0.83157,0.62752,0.90286,0.747,1.2435,0.006964,0.006964,0.006964
94,26627,1.04078,0.93436,1.3981,0.85125,0.72552,0.8322,0.63241,0.90103,0.75661,1.23681,0.006931,0.006931,0.006931
95,26806.6,1.02983,0.92298,1.39897,0.8671,0.72069,0.83422,0.63271,0.90018,0.78311,1.23803,0.006898,0.006898,0.006898
96,27007.5,1.02254,0.91146,1.38822,0.85306,0.73172,0.82895,0.62822,0.90947,0.75858,1.24776,0.006865,0.006865,0.006865
97,27176.7,1.01776,0.90589,1.38651,0.85887,0.71931,0.82922,0.63346,0.88674,0.77692,1.2332,0.006832,0.006832,0.006832
98,27351.5,1.02021,0.90177,1.3926,0.84599,0.72621,0.83159,0.63543,0.8691,0.71653,1.21934,0.006799,0.006799,0.006799
99,27530.8,1.02213,0.92083,1.39666,0.84389,0.7419,0.83488,0.63079,0.88399,0.71249,1.23137,0.006766,0.006766,0.006766
100,27708.6,1.03103,0.90491,1.39387,0.86743,0.72552,0.83751,0.63277,0.88414,0.70771,1.22876,0.006733,0.006733,0.006733
101,27890.3,1.01457,0.91722,1.39039,0.86553,0.72483,0.83742,0.63236,0.88265,0.70176,1.2308,0.0067,0.0067,0.0067
102,28071.5,1.01987,0.89958,1.39527,0.86484,0.74,0.84025,0.63631,0.88378,0.7049,1.22646,0.006667,0.006667,0.006667
103,28251.8,1.00657,0.90159,1.38039,0.87647,0.72423,0.83956,0.63929,0.88259,0.70158,1.22123,0.006634,0.006634,0.006634
104,28433.3,1.01306,0.89472,1.37982,0.85569,0.74018,0.84092,0.63762,0.88688,0.72271,1.23379,0.006601,0.006601,0.006601
105,28615.5,1.01549,0.89193,1.38716,0.87304,0.72966,0.84665,0.64182,0.8849,0.71995,1.23476,0.006568,0.006568,0.006568
106,28799.8,0.99779,0.89204,1.36631,0.8798,0.74138,0.84907,0.6424,0.87616,0.70263,1.22423,0.006535,0.006535,0.006535
107,28983.6,1.00562,0.87291,1.3714,0.86398,0.75349,0.84695,0.64407,0.87656,0.71863,1.22403,0.006502,0.006502,0.006502
108,29165,0.99028,0.86316,1.36725,0.86943,0.73793,0.85175,0.64593,0.8752,0.72303,1.21698,0.006469,0.006469,0.006469
109,29345.8,0.99651,0.87873,1.3666,0.85275,0.75793,0.85258,0.65047,0.87054,0.70464,1.21951,0.006436,0.006436,0.006436
110,29526.5,0.996,0.87174,1.36672,0.84614,0.76207,0.85251,0.64968,0.86465,0.6996,1.21834,0.006403,0.006403,0.006403
111,29703.9,0.98838,0.86176,1.36167,0.86405,0.76,0.85377,0.65007,0.86619,0.68384,1.21985,0.00637,0.00637,0.00637
112,29887,0.99588,0.86914,1.36977,0.8697,0.76415,0.85359,0.65028,0.86718,0.68,1.21853,0.006337,0.006337,0.006337
113,30065.9,0.98384,0.85126,1.35782,0.8681,0.76207,0.85461,0.65365,0.86233,0.67523,1.21438,0.006304,0.006304,0.006304
114,30243.1,0.97847,0.8526,1.36678,0.84008,0.78613,0.85666,0.65548,0.86243,0.6759,1.21863,0.006271,0.006271,0.006271
115,30416.6,0.97631,0.85441,1.35163,0.85176,0.77862,0.8574,0.65696,0.86636,0.67415,1.21565,0.006238,0.006238,0.006238
116,30593.2,0.97205,0.85134,1.35065,0.87443,0.75586,0.85574,0.6555,0.87339,0.67528,1.2188,0.006205,0.006205,0.006205
117,30771.5,0.97145,0.84546,1.35796,0.89431,0.74696,0.85689,0.65583,0.86062,0.67794,1.20663,0.006172,0.006172,0.006172
118,30950.8,0.96442,0.84143,1.34805,0.86807,0.76414,0.85802,0.65623,0.85869,0.66521,1.20507,0.006139,0.006139,0.006139
119,31128.7,0.97511,0.83805,1.35001,0.84607,0.7733,0.85656,0.65753,0.85833,0.66815,1.20764,0.006106,0.006106,0.006106
120,31307.3,0.98627,0.85167,1.36372,0.85724,0.76207,0.85721,0.65565,0.854,0.65707,1.20461,0.006073,0.006073,0.006073
121,31487.4,0.98016,0.84647,1.35128,0.86038,0.76924,0.85909,0.65821,0.85358,0.64895,1.20375,0.00604,0.00604,0.00604
122,31669.2,0.97262,0.8431,1.34721,0.87099,0.77172,0.86397,0.66351,0.84918,0.63398,1.20649,0.006007,0.006007,0.006007
123,31847.3,0.96484,0.82667,1.34041,0.86717,0.76989,0.86091,0.66322,0.84525,0.63709,1.20218,0.005974,0.005974,0.005974
124,32027.1,0.96341,0.82393,1.35099,0.87381,0.76889,0.86239,0.66343,0.85249,0.63493,1.2041,0.005941,0.005941,0.005941
125,32205.1,0.96969,0.82788,1.34689,0.87362,0.77229,0.86258,0.6663,0.84869,0.63624,1.19828,0.005908,0.005908,0.005908
126,32384.4,0.95764,0.82246,1.34104,0.86755,0.78,0.86384,0.66577,0.85135,0.62883,1.20151,0.005875,0.005875,0.005875
127,32561.2,0.95959,0.80882,1.33455,0.86658,0.78138,0.86746,0.66778,0.84576,0.6222,1.19993,0.005842,0.005842,0.005842
128,32741.5,0.96451,0.80785,1.33617,0.89291,0.76477,0.86853,0.66948,0.84157,0.62093,1.19809,0.005809,0.005809,0.005809
129,32920,0.96331,0.82469,1.34152,0.87802,0.77448,0.86995,0.66928,0.83877,0.61118,1.19441,0.005776,0.005776,0.005776
130,33096.2,0.95936,0.82248,1.33634,0.89624,0.76276,0.86847,0.66995,0.83223,0.61267,1.18855,0.005743,0.005743,0.005743
131,33281.7,0.9489,0.80679,1.32624,0.8702,0.78139,0.86912,0.66898,0.83197,0.60883,1.1894,0.00571,0.00571,0.00571
132,33464.5,0.95521,0.81449,1.32876,0.90233,0.75931,0.8694,0.67069,0.83051,0.61115,1.18599,0.005677,0.005677,0.005677
133,33645.9,0.93746,0.79283,1.31559,0.89564,0.7669,0.86987,0.67191,0.82954,0.61189,1.1838,0.005644,0.005644,0.005644
134,33830.1,0.95617,0.80824,1.33298,0.88767,0.77379,0.8723,0.67197,0.83032,0.61139,1.1817,0.005611,0.005611,0.005611
135,34012,0.94386,0.79126,1.32486,0.90111,0.77296,0.87381,0.67566,0.82999,0.6081,1.18229,0.005578,0.005578,0.005578
136,34191,0.93125,0.7848,1.31761,0.89401,0.77367,0.87313,0.67426,0.83023,0.60823,1.18475,0.005545,0.005545,0.005545
137,34369,0.93857,0.7842,1.31289,0.90422,0.77034,0.87435,0.67558,0.82838,0.60239,1.18299,0.005512,0.005512,0.005512
138,34548.4,0.93555,0.78569,1.31757,0.88789,0.78483,0.87453,0.6766,0.82828,0.60526,1.18411,0.005479,0.005479,0.005479
139,34728.2,0.93773,0.77576,1.31959,0.9009,0.78207,0.87854,0.67997,0.82672,0.60071,1.18252,0.005446,0.005446,0.005446
140,34917.9,0.9327,0.77788,1.31095,0.90201,0.78759,0.87747,0.68167,0.82373,0.59981,1.18076,0.005413,0.005413,0.005413
141,35098.9,0.93623,0.79202,1.32269,0.89612,0.78897,0.87903,0.68163,0.82252,0.59766,1.18071,0.00538,0.00538,0.00538
142,35282.7,0.92387,0.77194,1.31542,0.9022,0.78893,0.87977,0.68381,0.81955,0.59354,1.1775,0.005347,0.005347,0.005347
143,35460.4,0.92044,0.76893,1.30523,0.89739,0.78411,0.87922,0.68163,0.82258,0.59301,1.17853,0.005314,0.005314,0.005314
144,35639.6,0.91626,0.76368,1.30627,0.89413,0.7931,0.88027,0.68442,0.82417,0.59286,1.18322,0.005281,0.005281,0.005281
145,35824.9,0.92282,0.76616,1.31792,0.88896,0.80414,0.88326,0.68568,0.82072,0.59202,1.17948,0.005248,0.005248,0.005248
146,36004.8,0.92013,0.77085,1.30586,0.89034,0.80207,0.88465,0.68678,0.81762,0.5927,1.1772,0.005215,0.005215,0.005215
147,36184,0.9132,0.74844,1.2956,0.89327,0.79658,0.8851,0.68643,0.81771,0.58978,1.17592,0.005182,0.005182,0.005182
148,36361,0.91479,0.75346,1.30615,0.90068,0.79429,0.88512,0.6874,0.81739,0.58796,1.17654,0.005149,0.005149,0.005149
149,36543.6,0.91941,0.76516,1.30202,0.89151,0.79586,0.88526,0.68793,0.81558,0.582,1.17667,0.005116,0.005116,0.005116
150,36725.4,0.91309,0.76192,1.29308,0.88976,0.8,0.88787,0.68926,0.81622,0.57621,1.17592,0.005083,0.005083,0.005083
151,36918.1,0.90588,0.75013,1.29791,0.88882,0.8069,0.88705,0.69092,0.81345,0.58115,1.17656,0.00505,0.00505,0.00505
152,37116.8,0.90224,0.74515,1.29321,0.88069,0.81241,0.88762,0.68947,0.8108,0.57882,1.17612,0.005017,0.005017,0.005017
153,37310.3,0.9051,0.74084,1.2893,0.88852,0.79703,0.88804,0.68952,0.8092,0.57873,1.1745,0.004984,0.004984,0.004984
154,37504.4,0.90462,0.74995,1.29713,0.86857,0.82495,0.88921,0.69124,0.80487,0.578,1.1727,0.004951,0.004951,0.004951
155,37697.4,0.90722,0.73755,1.2938,0.88309,0.80966,0.88953,0.69223,0.80327,0.57621,1.16999,0.004918,0.004918,0.004918
156,37896.7,0.90386,0.74797,1.28717,0.889,0.81198,0.89023,0.69435,0.80425,0.57228,1.16955,0.004885,0.004885,0.004885
157,38088.5,0.90105,0.73469,1.28949,0.88313,0.81655,0.89041,0.69425,0.80548,0.5687,1.16798,0.004852,0.004852,0.004852
158,38280.8,0.89754,0.72779,1.28551,0.88317,0.8185,0.89166,0.69591,0.80514,0.56345,1.16683,0.004819,0.004819,0.004819
159,38474.9,0.89432,0.73688,1.28585,0.9096,0.79805,0.89209,0.69731,0.80265,0.56179,1.16443,0.004786,0.004786,0.004786
160,38671.1,0.88887,0.72374,1.27743,0.90699,0.80029,0.89227,0.69775,0.801,0.55932,1.16411,0.004753,0.004753,0.004753
161,38866.2,0.89404,0.73596,1.28055,0.89334,0.81655,0.8925,0.6969,0.80065,0.55724,1.16428,0.00472,0.00472,0.00472
162,39054,0.8817,0.73295,1.2768,0.90343,0.80759,0.8928,0.69749,0.79901,0.55353,1.16359,0.004687,0.004687,0.004687
163,39233.8,0.88344,0.73152,1.27355,0.90594,0.81038,0.89128,0.69857,0.79763,0.55155,1.16131,0.004654,0.004654,0.004654
164,39413.2,0.87629,0.71868,1.26561,0.9038,0.80987,0.89157,0.69745,0.79404,0.5516,1.15742,0.004621,0.004621,0.004621
165,39595.6,0.88276,0.73231,1.28071,0.90457,0.81172,0.89204,0.69973,0.79026,0.55145,1.15305,0.004588,0.004588,0.004588
166,39780.9,0.87153,0.72017,1.26289,0.90284,0.81387,0.89237,0.70088,0.78654,0.55227,1.1483,0.004555,0.004555,0.004555
167,39961.6,0.85238,0.71638,1.25401,0.90742,0.81172,0.89297,0.70165,0.78284,0.55048,1.14599,0.004522,0.004522,0.004522
168,40142.4,0.85946,0.71727,1.26231,0.90606,0.81154,0.89367,0.7043,0.77834,0.54627,1.1414,0.004489,0.004489,0.004489
169,40321.6,0.85842,0.70836,1.25318,0.90154,0.81241,0.89347,0.7066,0.77252,0.54384,1.13681,0.004456,0.004456,0.004456
170,40503.9,0.84937,0.70533,1.25645,0.90212,0.81862,0.89536,0.70845,0.77124,0.54207,1.13641,0.004423,0.004423,0.004423
171,40685.6,0.85704,0.71295,1.25827,0.90139,0.81953,0.89456,0.70811,0.76803,0.54043,1.13351,0.00439,0.00439,0.00439
172,40869.9,0.842,0.69308,1.24991,0.90422,0.81862,0.89504,0.70896,0.7644,0.54163,1.13062,0.004357,0.004357,0.004357
173,41051.9,0.83673,0.70335,1.24629,0.90455,0.81931,0.89569,0.71126,0.76,0.54087,1.12612,0.004324,0.004324,0.004324
174,41233.4,0.83518,0.68901,1.24045,0.90428,0.82096,0.89652,0.71357,0.75686,0.53852,1.12377,0.004291,0.004291,0.004291
175,41420.4,0.84144,0.69304,1.24379,0.9073,0.81675,0.89718,0.71586,0.7534,0.53699,1.12148,0.004258,0.004258,0.004258
176,41605.6,0.83147,0.69499,1.24328,0.90889,0.81867,0.89653,0.71735,0.74813,0.53562,1.11662,0.004225,0.004225,0.004225
177,41793,0.83904,0.69786,1.24809,0.91293,0.81709,0.89747,0.72025,0.74295,0.53447,1.11173,0.004192,0.004192,0.004192
178,41983.8,0.8245,0.6883,1.23141,0.91425,0.81614,0.89773,0.72041,0.73726,0.53317,1.1067,0.004159,0.004159,0.004159
179,42169.8,0.82561,0.6833,1.2381,0.91358,0.81651,0.89848,0.72166,0.73374,0.53047,1.10466,0.004126,0.004126,0.004126
180,42356.5,0.83772,0.69593,1.24188,0.91767,0.81488,0.89826,0.7226,0.73041,0.52826,1.10187,0.004093,0.004093,0.004093
181,42628.8,0.8313,0.69163,1.24157,0.9127,0.81724,0.89852,0.72317,0.7277,0.52582,1.10095,0.00406,0.00406,0.00406
182,42911.7,0.81739,0.67367,1.23215,0.91475,0.81655,0.8987,0.72474,0.72523,0.52469,1.09989,0.004027,0.004027,0.004027
183,43080.9,0.8153,0.67737,1.23227,0.9142,0.81565,0.89935,0.72587,0.72294,0.52545,1.0987,0.003994,0.003994,0.003994
184,43341.5,0.81653,0.67032,1.22982,0.91566,0.81614,0.89904,0.72702,0.71972,0.52265,1.09651,0.003961,0.003961,0.003961
185,43740,0.81322,0.66329,1.22512,0.91577,0.81732,0.89969,0.72749,0.71702,0.52142,1.09536,0.003928,0.003928,0.003928
186,44027.1,0.82135,0.68363,1.22831,0.91964,0.81291,0.89921,0.72768,0.71418,0.52058,1.09315,0.003895,0.003895,0.003895
187,44259.5,0.81348,0.67101,1.23051,0.91966,0.81318,0.89935,0.72903,0.7113,0.51985,1.09062,0.003862,0.003862,0.003862
188,44430.4,0.81226,0.66957,1.22587,0.91818,0.8131,0.90003,0.72935,0.70877,0.51781,1.08878,0.003829,0.003829,0.003829
189,44612.5,0.79929,0.66238,1.2163,0.92044,0.81385,0.89951,0.72998,0.70475,0.51863,1.08601,0.003796,0.003796,0.003796
190,44793.7,0.80445,0.65241,1.21418,0.91856,0.81672,0.90052,0.73052,0.70392,0.51703,1.08451,0.003763,0.003763,0.003763
191,44975.8,0.80303,0.6555,1.21999,0.92329,0.8135,0.90141,0.73235,0.70232,0.51517,1.08299,0.00373,0.00373,0.00373
192,45156.3,0.80133,0.66393,1.21437,0.92765,0.81357,0.90185,0.73249,0.69977,0.51434,1.08078,0.003697,0.003697,0.003697
